charset,Shift_JIS
20207,__parts
20208,__parts
20209,__parts
20210,__parts
20211,__parts

30000,__parts
30001,__parts
30002,__parts
30003,__parts

30010,__parts
30011,__parts
30012,__parts
30013,__parts

30020,__parts
30021,__parts
30022,__parts
30023,__parts

31000,__parts
31001,__parts
31002,__parts
31003,__parts
31004,__parts
31005,__parts
31006,__parts
31007,__parts
31008,__parts
31009,__parts
31010,__parts
31011,__parts
31012,__parts
31013,__parts
31014,__parts
}
